source,target,value,value2,type
65,43,3/1/1692,,accusation
20,43,3/1/1692,,accusation
40,43,3/1/1692,,accusation
60,43,3/1/1692,,accusation
2,43,3/5/1692,,accusation
41,43,3/5/1692,,accusation
30,43,3/5/1692,,accusation
18,43,5/23/1692,,accusation
89,43,5/23/1692,,accusation
45,46,5/14/1692,,accusation
65,46,5/14/1692,,accusation
72,46,5/23/1692,,accusation
89,46,5/1/1692,,accusation
40,47,5/18/1692,,accusation
45,47,5/14/1692,,accusation
65,47,5/14/1692,,accusation
72,47,5/17/1692,,accusation
89,47,5/1/1692,,accusation
59,55,3/24/1692,7/1/1692,accusation
60,55,3/24/1692,7/1/1692,accusation
61,55,3/25/1692,7/1/1692,accusation
89,55,4/12/1692,7/1/1692,accusation
78,55,4/12/1692,7/1/1692,accusation
40,55,3/24/1692,7/1/1692,accusation
21,55,6/2/1692,7/1/1692,accusation
58,55,6/21/1692,7/1/1692,accusation
75,55,6/21/1692,7/1/1692,accusation
9,55,6/29/1692,7/1/1692,accusation
39,55,6/29/1692,7/1/1692,accusation
45,55,6/29/1692,7/1/1692,accusation
44,55,6/29/1692,7/1/1692,accusation
63,55,6/29/1692,7/1/1692,accusation
65,55,6/29/1692,7/1/1692,accusation
57,55,6/29/1692,7/1/1692,accusation
12,55,4/1/1692,7/1/1692,accusation
40,56,3/1/1692,5/10/1692,accusation
60,56,3/1/1692,5/10/1693,accusation
2,56,3/5/1692,5/10/1694,accusation
41,56,3/5/1692,5/10/1695,accusation
30,56,3/5/1692,5/10/1696,accusation
18,56,3/5/1692,5/10/1697,accusation
51,56,4/4/1692,5/10/1698,accusation
89,56,5/23/1692,5/10/1699,accusation
40,81,5/21/1692,,accusation
40,81,9/23/1692,,accusation
42,81,9/15/1692,,accusation
45,81,5/14/1692,,accusation
65,81,5/14/1692,,accusation
60,81,5/23/1692,,accusation
72,81,5/17/1692,,accusation
76,81,5/23/1692,,accusation
89,81,5/23/1692,,accusation
4,88,8/4/1692,8/19/1692,accusation
5,88,8/4/1692,8/19/1692,accusation
9,88,6/3/1692,8/19/1692,accusation
25,88,5/18/1692,8/19/1692,accusation
33,88,5/17/1692,8/19/1692,accusation
40,88,5/18/1692,8/19/1692,accusation
40,88,5/21/1692,8/19/1692,accusation
45,88,5/18/1692,8/19/1692,accusation
50,88,8/4/1692,8/19/1692,accusation
49,88,8/4/1692,8/19/1692,accusation
51,88,5/18/1692,8/19/1692,accusation
54,88,8/4/1692,8/19/1692,accusation
52,88,8/4/1692,8/19/1692,accusation
57,88,5/18/1692,8/19/1692,accusation
65,88,5/18/1692,8/19/1692,accusation
61,88,5/18/1692,8/19/1692,accusation
59,88,5/23/1692,8/19/1692,accusation
64,88,5/18/1692,8/19/1692,accusation
60,88,5/18/1692,8/19/1692,accusation
66,88,6/3/1692,8/19/1692,accusation
72,88,5/17/1692,8/19/1692,accusation
76,88,5/23/1692,8/19/1692,accusation
78,88,5/18/1692,8/19/1692,accusation
82,88,5/17/1692,8/19/1692,accusation
82,88,5/18/1692,8/19/1692,accusation
84,88,6/2/1692,8/19/1692,accusation
82,88,6/3/1692,8/19/1692,accusation
85,88,6/3/1692,8/19/1692,accusation
83,88,8/4/1692,8/19/1692,accusation
86,88,8/4/1692,8/19/1692,accusation
87,88,8/4/1692,8/19/1692,accusation
89,88,5/18/1692,8/19/1692,accusation
51,38,4/22/1692,,accusation
60,38,4/22/1692,,accusation
78,38,4/22/1692,,accusation
89,38,4/22/1692,,accusation
49,37,4/19/1692,,accusation
52,37,4/19/1692,,accusation
51,37,4/19/1692,,accusation
60,37,4/19/1692,,accusation
78,37,4/19/1692,,accusation
0,1,,,relative
1,0,,,relative
4,5,,,relative
5,4,,,relative
10,11,,,relative
11,10,,,relative
14,15,,,relative
14,16,,,relative
15,14,,,relative
15,16,,,relative
16,14,,,relative
16,15,,,relative
26,27,,,relative
27,26,,,relative
28,29,,,relative
28,30,,,relative
29,28,,,relative
29,30,,,relative
30,28,,,relative
30,29,,,relative
33,34,,,relative
33,35,,,relative
33,36,,,relative
34,33,,,relative
34,35,,,relative
34,36,,,relative
35,33,,,relative
35,34,,,relative
35,36,,,relative
36,33,,,relative
36,34,,,relative
36,35,,,relative
37,38,,,relative
38,37,,,relative
44,45,,,relative
45,44,,,relative
46,47,,,relative
47,46,,,relative
49,50,,,relative
50,49,,,relative
53,54,,,relative
54,53,,,relative
59,60,,,relative
59,61,,,relative
59,62,,,relative
59,63,,,relative
59,64,,,relative
59,65,,,relative
60,59,,,relative
60,61,,,relative
60,62,,,relative
60,63,,,relative
60,64,,,relative
60,65,,,relative
61,59,,,relative
61,60,,,relative
61,62,,,relative
61,63,,,relative
61,64,,,relative
61,65,,,relative
62,59,,,relative
62,60,,,relative
62,61,,,relative
62,63,,,relative
62,64,,,relative
62,65,,,relative
63,59,,,relative
63,60,,,relative
63,61,,,relative
63,62,,,relative
63,64,,,relative
63,65,,,relative
64,59,,,relative
64,60,,,relative
64,61,,,relative
64,62,,,relative
64,63,,,relative
64,65,,,relative
65,59,,,relative
65,60,,,relative
65,61,,,relative
65,62,,,relative
65,63,,,relative
65,64,,,relative
68,69,,,relative
69,68,,,relative
70,71,,,relative
71,70,,,relative
77,78,,,relative
78,77,,,relative
82,83,,,relative
82,84,,,relative
82,85,,,relative
82,86,,,relative
82,87,,,relative
83,82,,,relative
83,84,,,relative
83,85,,,relative
83,86,,,relative
83,87,,,relative
84,82,,,relative
84,83,,,relative
84,85,,,relative
84,86,,,relative
84,87,,,relative
85,82,,,relative
85,83,,,relative
85,84,,,relative
85,86,,,relative
85,87,,,relative
86,82,,,relative
86,83,,,relative
86,84,,,relative
86,85,,,relative
86,87,,,relative
87,82,,,relative
87,83,,,relative
87,84,,,relative
87,85,,,relative
87,86,,,relative
