source,target,value,value2,type
17,3,5/18/1692,,accusation
45,3,5/14/1692,,accusation
65,3,5/14/1692,,accusation
72,3,5/23/1692,,accusation
14,10,6/2/1692,6/10/1692,accusation
16,10,6/2/1692,6/10/1692,accusation
15,10,6/2/1692,6/10/1692,accusation
23,10,6/2/1692,6/10/1692,accusation
24,10,6/2/1692,6/10/1692,accusation
31,10,5/3/1692,6/10/1692,accusation
37,10,6/1/1692,6/10/1692,accusation
38,10,6/1/1692,6/10/1692,accusation
53,10,6/2/1692,6/10/1692,accusation
67,10,5/31/1692,6/10/1692,accusation
68,10,6/2/1692,6/10/1692,accusation
69,10,6/2/1692,6/10/1692,accusation
72,10,5/17/1692,6/10/1692,accusation
74,10,5/3/1692,6/10/1692,accusation
80,10,6/1/1692,6/10/1692,accusation
6,11,5/2/1692,6/10/1692,accusation
32,11,5/2/1692,6/10/1692,accusation
48,11,5/2/1692,6/10/1692,accusation
59,11,6/2/1692,6/10/1692,accusation
79,11,5/2/1692,6/10/1692,accusation
58,13,6/29/1692,,accusation
75,13,6/29/1692,,accusation
33,19,5/17/1692,,accusation
40,19,5/18/1692,,accusation
42,19,9/15/1692,,accusation
45,19,5/14/1692,,accusation
65,19,5/14/1692,,accusation
60,19,5/18/1692,,accusation
72,19,5/17/1692,,accusation
78,19,5/18/1692,,accusation
82,19,5/18/1692,,accusation
45,22,4/4/1692,,accusation
57,22,4/11/1692,,accusation
58,22,6/29/1692,,accusation
59,22,3/24/1692,,accusation
65,22,4/11/1692,,accusation
59,22,6/2/1692,,accusation
62,22,6/29/1692,,accusation
64,22,6/29/1692,,accusation
75,22,6/29/1692,,accusation
77,22,4/4/1692,,accusation
78,22,4/12/1692,,accusation
89,22,4/12/1692,,accusation
51,28,4/3/1692,,accusation
78,28,3/24/1692,,accusation
60,28,3/24/1692,,accusation
1,29,6/29/1692,7/12/1692,accusation
0,29,6/29/1692,7/12/1692,accusation
2,29,3/5/1692,7/12/1692,accusation
7,29,6/29/1692,7/12/1692,accusation
8,29,6/28/1692,7/12/1692,accusation
9,29,6/28/1692,7/12/1692,accusation
18,29,3/5/1692,7/12/1692,accusation
20,29,3/1/1692,7/12/1692,accusation
26,29,6/28/1692,7/12/1692,accusation
27,29,6/28/1692,7/12/1692,accusation
30,29,3/5/1692,7/12/1692,accusation
35,29,6/28/1692,7/12/1692,accusation
36,29,6/28/1692,7/12/1692,accusation
34,29,6/29/1692,7/12/1692,accusation
37,29,6/1/1692,7/12/1692,accusation
38,29,6/1/1692,7/12/1692,accusation
40,29,3/1/1692,7/12/1692,accusation
41,29,3/5/1692,7/12/1692,accusation
57,29,3/1/1692,7/12/1692,accusation
65,29,3/1/1692,7/12/1692,accusation
60,29,3/1/1692,7/12/1692,accusation
71,29,6/28/1692,7/12/1692,accusation
70,29,6/28/1692,7/12/1692,accusation
72,29,6/28/1692,7/12/1692,accusation
73,29,6/29/1692,7/12/1692,accusation
78,29,6/28/1692,7/12/1692,accusation
80,29,6/1/1692,7/12/1692,accusation
89,29,5/23/1692,7/12/1692,accusation
57,43,3/1/1692,,accusation
